drug	0	1	2	3	4	5	6	7	8	9	brandred
ethinyl_estradiol_ethynodiol_diacetate	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.735294117647
hydralazine_hydrochloride	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.0231884057971
mebendazole	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	Anthelmintics	0.25
cimetidine	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	0.105952380952
cyproheptadine_hydrochloride	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.00671140939597
hydrochlorothiazide_irbesartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.442857142857
loteprednol_etabonate_tobramycin	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	1.0
lubiprostone	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	Cath&Lax, Laxatives/Enemas	1.0
diclofenac_sodium_misoprostol	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.880952380952
vitamin_b_complex__iron__and_vitamin_c	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.755102040816
letrozole	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.2
exenatide	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	1.0
sulindac	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.0524934383202
methylergonovine_maleate	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	Oxytocics	0.776470588235
modafinil	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	0.690721649485
memantine_hydrochloride	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	1.0
carbamazepine	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.123853211009
quinine_sulfate	Antimalarial Agents	Cardiac, Antiarrhythmic Agents	Antimalarial Agents	Antimalarial Agents	Cardiac, Antiarrhythmic Agents	Antimalarial Agents	Antimalarial Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Antimalarial Agents	0.0239651416122
erythromycin_ethylsuccinate	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.249530956848
benzoyl_peroxide_erythromycin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.666666666667
insulin_human_isophane__nph_	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	0.566666666667
colchicine	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	Antigout Agents	0.0255102040816
cough_cold_combination	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.261904761905
isotretinoin	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	Vitamin A & Derivatives	0.447368421053
bimatoprost	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	1.0
cpm_pse_hcl	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.260869565217
cpm_hydrocod_bit_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.38
olanzapine	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	0.421593830334
pramipexole_dihydrochloride	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	0.303571428571
colesevelam_hydrochloride	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	1.0
zolmitriptan	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	0.644444444444
anastrozole	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.112903225806
tamsulosin_hydrochloride	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.35632183908
halobetasol_propionate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.372549019608
nepafenac	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
flunisolide	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.477272727273
calcitonin__salmon_	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	Parathyroid Hormones	0.647058823529
atomoxetine_hydrochloride	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	1.0
zaleplon	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	0.340740740741
brimonidine_tartrate	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	0.441860465116
guaifenesin	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.24
levetiracetam	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.125
penciclovir	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	Antiinf S/MM,Antivirals & Comb	1.0
aspirin_butalbital_caffeine	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	0.0648148148148
megestrol_acetate	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.0691489361702
bisoprolol_fumarate_hydrochlorothiazide	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.103703703704
tegaserod_maleate	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	1.0
oxaprozin	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.330677290837
chlordiazepoxide_hydrochloride_clidinium_bro	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	0.0288065843621
quinapril_hydrochloride	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.321167883212
multivitamin_and_fluoride	Fluoride Preparations	Multivit Prep, Multivit Plain	Fluoride Preparations	Multivit Prep, Multivit Plain	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.12077294686
clindamycin_phosphate_tretinoin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
clomiphene_citrate	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	Ovulation Stimulants	0.15
cefixime	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	1.0
norethindrone_acetate	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.230769230769
chlorpheniramine_tannate_phenylephrine_tanna	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.216216216216
timolol_maleate	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Eye/Ear/Nose/Throat Misc	Cardiac, Beta Blockers	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Eye/Ear/Nose/Throat Misc	0.228260869565
dapsone	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	Sulfones	0.153846153846
amoxicillin;clarithromycin;lansoprazole	Antiinfect, Antibiotics EENT	Antibiot, Penicillins	Antibiot, Penicillins	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antibiot, Penicillins	Antibiot, Penicillins	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antibiot, Penicillins	0.666666666667
ethinyl_estradiol_ferrous_fum_norethindrone_	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.5
nebivolol_hydrochloride	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	1.0
cream__multi_ingredient	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	0.627705627706
rosiglitazone_maleate	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	0.953846153846
labetalol_hydrochloride	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	Cardiac, Alpha-Beta Blockers	0.299107142857
liothyronine_sodium	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	Thy/Antithy, Thyroid/Hormones	0.315789473684
bpm_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.360465116279
needle	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	0.00813008130081
butoconazole_nitrate	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.869565217391
niacin	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.124378109453
atovaquone_proguanil_hydrochloride	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	0.571428571429
tamoxifen_citrate	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.196581196581
cholestyramine	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.302083333333
glucose_meter	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	0.0137931034483
meperidine_hydrochloride	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.294117647059
progesterone__micronized	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.0333333333333
tacrolimus	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Immunosuppressants	Misc Therapeutic Agents	Immunosuppressants	0.305882352941
doxepin_hydrochloride	Dental Agents	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Psychother, Antidepressants	Anxiolytic/Sedative/Hypnot	Psychother, Antidepressants	Dental Agents	Dental Agents	0.105011933174
ammonium_lactate	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	Emoll/Moist/Demul/Protect S/MM	0.415584415584
meperidine_hcl_promethazine_hcl	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.260869565217
gemfibrozil	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.0443349753695
dexlansoprazole	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	1.0
diclofenac_potassium	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.302631578947
orphenadrine_citrate	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	Muscle Relax, Skeletal, Misc	0.129533678756
hydrocortisone_butyrate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.5
